id,teamId,teamRank,teamTotal,shard,dbnos,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,mainWeapon
50,9,1,17,steam,5,1,5,486.855,alive,2,2,2,2,6,144.93,GuXinx_x,account.b8548b3c23444ae2ac09adcfcae76092,0,4641.79,0,0.0,0,1286,0,1951.29,6,1,WeapSKS_C
2,11,1,16,steam,0,4,8,59.9971,alive,0,2,16,1,1,81.0939,3itc,account.05923c88a59c471697fda1ae3017d367,0,6857.97,0,0.0,0,1639,0,1352.72,3,1,WeapMk12_C
2,15,1,16,steam,0,5,12,111.349,alive,0,5,29,0,0,0.0,3itc,account.05923c88a59c471697fda1ae3017d367,0,6691.19,0,0.0,0,1628,0,1275.6,5,1,WeapMk12_C
3,9,1,16,steam,1,3,3,96.6674,alive,2,1,10,1,2,203.971,3itc,account.05923c88a59c471697fda1ae3017d367,0,6160.51,0,0.0,0,1514,0,751.026,4,1,WeapMini14_C
1,13,1,19,steam,0,4,11,266.32,alive,0,16,7,1,2,37.2568,3itc,account.05923c88a59c471697fda1ae3017d367,1,6615.55,0,0.0,0,1848,0,1566.49,4,1,WeapMk12_C
53,11,1,16,steam,4,7,8,867.666,alive,3,11,2,1,5,305.914,8090_-fatsaoGG,account.e4486bc56f274f63ab6619232b7f3c0a,0,6645.28,0,0.0,0,1481,0,2451.9,9,1,WeapMini14_C
55,13,1,17,steam,3,4,9,453.019,alive,2,7,3,2,5,87.1917,8090_-fatsaoGG,account.e4486bc56f274f63ab6619232b7f3c0a,2,6527.23,0,0.0,0,1887,0,2211.28,5,1,WeapMini14_C
62,3,1,16,steam,9,2,7,1003.19,alive,5,2,2,3,8,56.9893,Yzk_762,account.ff16d7758d72440cbc39d5ea6be27e98,0,2578.03,0,0.0,0,1874,0,2176.04,9,1,WeapMini14_C
39,9,1,12,steam,4,1,8,855.833,alive,0,3,2,1,6,342.845,Yzk_762,account.ff16d7758d72440cbc39d5ea6be27e98,3,7919.48,1,0.0,0,1704,0,1808.29,5,1,WeapMini14_C
60,17,1,18,steam,1,2,1,102.0,alive,1,0,13,1,1,48.1731,Yzk_762,account.ff16d7758d72440cbc39d5ea6be27e98,0,3049.95,0,0.0,0,619,0,650.905,5,1,WeapBerylM762_C
62,16,1,19,steam,2,2,2,258.077,alive,0,1,9,1,2,29.8586,Yzk_762,account.ff16d7758d72440cbc39d5ea6be27e98,1,4481.66,0,0.0,0,846,0,789.338,4,1,WeapHK416_C
10,8,1,16,steam,0,2,3,279.299,alive,0,3,23,0,0,0.0,ChunFengOvO_,account.21817aa71f9d443e83d3af51d9856333,1,1484.66,0,0.0,0,1857,0,1854.72,4,1,WeapFNFal_C
10,11,1,18,steam,2,5,6,390.694,alive,0,3,5,1,3,238.765,ChunFengOvO_,account.21817aa71f9d443e83d3af51d9856333,0,2956.28,0,0.0,0,1719,0,2122.77,6,1,WeapAWM_C
11,14,1,17,steam,6,4,5,901.859,alive,4,11,1,2,8,239.33,ChunFengOvO_,account.21817aa71f9d443e83d3af51d9856333,2,8021.0,0,0.0,0,1786,0,1531.71,6,1,WeapACE32_C
8,5,1,16,steam,6,3,7,902.969,alive,4,2,3,2,5,200.714,ChunFengOvO_,account.21817aa71f9d443e83d3af51d9856333,1,6955.06,0,0.0,0,1520,0,1494.55,8,1,WeapKar98k_C
7,9,1,17,steam,0,7,4,220.216,alive,0,1,13,1,1,53.206,ChunFengOvO_,account.21817aa71f9d443e83d3af51d9856333,0,8502.12,0,0.0,0,1203,0,1153.21,4,1,WeapSKS_C
22,15,1,17,steam,0,0,2,28.416,byplayer,0,1,52,0,0,0.0,YuRe_Xz,account.6567817a66c94be7bf374d0f0eb18be0,0,3004.52,0,0.0,0,803,0,448.728,5,16,WeapFNFal_C
22,14,1,16,steam,6,2,12,812.542,alive,2,8,1,3,8,130.302,YuRe_Xz,account.6567817a66c94be7bf374d0f0eb18be0,3,5390.53,0,0.0,0,1847,2,3227.06,11,1,WeapBerylM762_C
27,1,1,18,steam,3,2,9,655.426,alive,0,7,6,1,2,52.0912,YuRe_Xz,account.6567817a66c94be7bf374d0f0eb18be0,0,3478.86,0,0.0,0,1508,0,2850.77,7,1,WeapKar98k_C
26,9,1,15,steam,2,1,2,210.891,alive,0,0,13,1,1,33.3452,YuRe_Xz,account.6567817a66c94be7bf374d0f0eb18be0,0,4523.39,0,0.0,0,754,0,1063.01,4,1,WeapHK416_C
24,11,1,20,steam,5,4,12,1035.57,alive,2,12,1,2,9,695.725,YuRe_Xz,account.6567817a66c94be7bf374d0f0eb18be0,0,4282.53,0,0.0,0,1678,0,2488.16,6,1,WeapHK416_C
36,2,1,17,steam,3,2,5,724.033,alive,0,3,19,1,1,56.3191,Be1s_,account.86e20be15ae04f8fbb9346378c4d8a06,0,2247.38,0,0.0,0,1645,1,1270.8,9,1,WeapMk14_C
34,10,1,17,steam,4,1,6,585.32,alive,1,4,5,2,4,373.857,Be1s_,account.86e20be15ae04f8fbb9346378c4d8a06,0,2251.69,0,0.0,0,1591,0,2181.53,6,1,WeapFNFal_C
31,18,1,18,steam,1,0,5,366.786,alive,0,3,6,1,2,165.078,Be1s_,account.86e20be15ae04f8fbb9346378c4d8a06,0,6445.93,0,0.0,0,1608,1,1635.71,9,1,WeapFNFal_C
35,2,1,17,steam,4,2,8,687.451,alive,1,8,5,2,3,26.0607,Be1s_,account.86e20be15ae04f8fbb9346378c4d8a06,4,4697.46,0,0.0,0,1698,0,2583.05,5,1,WeapFNFal_C
30,1,1,18,steam,4,4,2,599.78,alive,0,0,5,1,2,300.59,Be1s_,account.86e20be15ae04f8fbb9346378c4d8a06,0,4454.03,0,0.0,0,1533,0,2369.65,6,1,WeapSKS_C
19,10,1,16,steam,5,0,4,440.739,alive,2,3,3,3,5,76.0933,OMG-_dahai,account.579f767be0d64bd6860eca34e5f6fe80,1,1360.18,0,0.0,0,1243,1,2112.07,5,1,WeapBerylM762_C
20,14,1,18,steam,3,4,9,510.866,alive,0,2,3,1,4,179.651,OMG-_dahai,account.579f767be0d64bd6860eca34e5f6fe80,0,4468.88,0,0.0,0,1279,0,2032.43,7,1,WeapMG3_C
15,8,1,17,steam,5,6,8,1179.33,alive,0,4,28,0,0,0.0,OMG-_dahai,account.579f767be0d64bd6860eca34e5f6fe80,1,2892.4,0,0.0,0,1606,1,1879.28,6,1,WeapFNFal_C
43,11,1,15,steam,0,0,2,0.0,alive,0,0,25,0,0,0.0,vogt_____,account.c6b59608e87a4d26987958fef4190855,0,4104.74,0,0.0,0,1412,0,635.014,6,1,
81,3,1,32,steam,3,1,4,150.549,alive,0,5,7,1,3,53.4677,vogt_____,account.c6b59608e87a4d26987958fef4190855,1,1966.87,0,67.3903,0,1140,0,2080.73,5,1,WeapP90_C
66,5,1,32,steam,3,3,3,283.538,alive,1,3,7,1,3,82.5109,vogt_____,account.c6b59608e87a4d26987958fef4190855,0,158.009,0,197.41,0,1222,0,2225.7,13,1,WeapMk14_C
74,11,1,29,steam,3,2,5,365.06,alive,1,3,4,2,4,68.7387,vogt_____,account.c6b59608e87a4d26987958fef4190855,2,553.986,0,0.0,0,1379,0,1901.3,5,1,WeapMG3_C
26,3,1,16,steam,2,1,13,358.386,alive,0,0,8,1,2,285.866,areaclear,account.8483b971565944a0ab652ce572623a99,0,3212.74,0,0.0,0,1637,0,1486.09,6,1,WeapMk12_C
30,13,1,18,steam,3,3,12,752.59,alive,2,6,5,2,3,69.2791,areaclear,account.8483b971565944a0ab652ce572623a99,0,7557.15,0,0.0,0,1910,0,1029.2,6,1,WeapMk12_C
30,10,1,15,steam,1,3,8,1018.44,alive,0,3,16,1,1,79.665,areaclear,account.8483b971565944a0ab652ce572623a99,0,2850.22,0,0.0,0,1757,2,1357.3,5,1,WeapMk12_C
44,5,1,16,steam,6,2,11,1124.02,alive,1,0,2,2,5,152.674,areaclear,account.8483b971565944a0ab652ce572623a99,1,4072.25,0,0.0,0,1674,0,1968.16,4,1,WeapMk12_C
